Weed_Variety,Herbicide_Name,Application_Rate,Effectiveness,Region,Notes
Cyperus rotundus,Propanil,3.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,Glyphosate,3.5 L/ha,High,Northern Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,2.0 L/ha,Medium,Southern Province,Synthetic data for example purposes
Imperata cylindrica,Propanil,2.5 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",3.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,3.5 L/ha,High,Northern Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,2.0 L/ha,Low,Central Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,1.2 L/ha,Low,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",2.0 L/ha,Medium,Central Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,1.5 kg/ha,Low,Southern Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,2.5 L/ha,Medium,Northern Province,Synthetic data for example purposes
Sphenoclea zeylanica,"2,4-D",2.5 L/ha,Low,Western Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,1.2 L/ha,Medium,Western Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,1.5 kg/ha,High,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,"2,4-D",1.5 kg/ha,High,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,3.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,Propanil,2.0 L/ha,High,Western Province,Synthetic data for example purposes
Cyperus rotundus,Glyphosate,3.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,2.0 L/ha,Medium,Northern Province,Synthetic data for example purposes
Imperata cylindrica,Propanil,1.2 L/ha,Medium,Southern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,2.5 L/ha,Medium,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,1.5 kg/ha,Medium,Eastern Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,2.0 L/ha,High,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,2.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,MCPA,1.5 kg/ha,Low,Northern Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,2.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,"2,4-D",2.5 L/ha,High,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,MCPA,3.5 L/ha,Low,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,3.5 L/ha,Low,Northern Province,Synthetic data for example purposes
Echinochloa crus-galli,Propanil,1.5 kg/ha,Medium,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",2.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,Propanil,2.0 L/ha,High,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,2.5 L/ha,Medium,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",3.5 L/ha,Low,Western Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,2.0 L/ha,High,Central Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,1.2 L/ha,High,Eastern Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,1.5 kg/ha,Medium,Western Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",1.2 L/ha,Medium,Western Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,2.5 L/ha,Low,Western Province,Synthetic data for example purposes
Imperata cylindrica,"2,4-D",1.2 L/ha,High,Northern Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,1.5 kg/ha,Medium,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,Atrazine,3.5 L/ha,Medium,Southern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,3.5 L/ha,Low,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,1.2 L/ha,Medium,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,3.5 L/ha,High,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,Propanil,2.0 L/ha,Low,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",2.0 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,2.5 L/ha,Low,Northern Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",1.2 L/ha,Low,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,Glyphosate,1.2 L/ha,High,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,1.5 kg/ha,Low,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",1.2 L/ha,High,Central Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",1.2 L/ha,Low,Northern Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,2.5 L/ha,High,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,Propanil,1.2 L/ha,High,Northern Province,Synthetic data for example purposes
Sphenoclea zeylanica,"2,4-D",1.2 L/ha,Low,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,1.2 L/ha,Medium,Central Province,Synthetic data for example purposes
Imperata cylindrica,"2,4-D",3.5 L/ha,Low,Central Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",2.5 L/ha,Low,Eastern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,2.0 L/ha,High,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,3.5 L/ha,Medium,Northern Province,Synthetic data for example purposes
Imperata cylindrica,"2,4-D",2.0 L/ha,High,Northern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,1.5 kg/ha,High,Western Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,3.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,1.5 kg/ha,Low,Northern Province,Synthetic data for example purposes
Imperata cylindrica,Propanil,3.5 L/ha,High,Southern Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,1.2 L/ha,High,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,1.2 L/ha,Medium,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",2.5 L/ha,Medium,Western Province,Synthetic data for example purposes
Amaranthus spinosus,Atrazine,1.5 kg/ha,Medium,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,MCPA,3.5 L/ha,High,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",1.2 L/ha,Medium,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",1.2 L/ha,High,Northern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Propanil,1.2 L/ha,Low,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,Glyphosate,3.5 L/ha,Low,Western Province,Synthetic data for example purposes
Cyperus rotundus,Propanil,2.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Echinochloa crus-galli,Glyphosate,1.2 L/ha,Medium,Northern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,1.5 kg/ha,High,Northern Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,1.2 L/ha,Medium,Western Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,1.5 kg/ha,High,Western Province,Synthetic data for example purposes
Cyperus rotundus,Propanil,2.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,2.0 L/ha,Low,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,2.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,2.5 L/ha,High,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,3.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Imperata cylindrica,Propanil,1.5 kg/ha,Medium,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",1.2 L/ha,Low,Western Province,Synthetic data for example purposes
Sphenoclea zeylanica,Propanil,1.2 L/ha,Low,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,1.5 kg/ha,Medium,Northern Province,Synthetic data for example purposes
Cyperus rotundus,Glyphosate,2.0 L/ha,High,Central Province,Synthetic data for example purposes
Imperata cylindrica,"2,4-D",1.2 L/ha,Low,Central Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,1.5 kg/ha,Medium,Northern Province,Synthetic data for example purposes
Cyperus rotundus,Propanil,3.5 L/ha,Low,Western Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",2.0 L/ha,High,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,3.5 L/ha,Low,Western Province,Synthetic data for example purposes
Amaranthus spinosus,MCPA,1.2 L/ha,Medium,Northern Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,1.5 kg/ha,Low,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,"2,4-D",2.5 L/ha,Low,Western Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",2.0 L/ha,Medium,Western Province,Synthetic data for example purposes
Cyperus rotundus,Glyphosate,2.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,1.5 kg/ha,High,Western Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",1.5 kg/ha,High,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,2.0 L/ha,High,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,Glyphosate,1.5 kg/ha,High,Central Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,2.0 L/ha,High,Eastern Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,3.5 L/ha,High,Central Province,Synthetic data for example purposes
Amaranthus spinosus,MCPA,3.5 L/ha,Low,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,2.0 L/ha,High,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,3.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,1.2 L/ha,Low,Eastern Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,2.0 L/ha,Medium,Central Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,1.2 L/ha,Medium,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,2.0 L/ha,Low,Central Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",1.2 L/ha,Low,Southern Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",1.5 kg/ha,Low,Northern Province,Synthetic data for example purposes
Imperata cylindrica,Propanil,2.5 L/ha,Low,Western Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",3.5 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,2.0 L/ha,Medium,Western Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",1.5 kg/ha,Medium,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,"2,4-D",1.5 kg/ha,Medium,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,3.5 L/ha,Low,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,2.5 L/ha,High,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,3.5 L/ha,Medium,Western Province,Synthetic data for example purposes
Sphenoclea zeylanica,Propanil,2.5 L/ha,Medium,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",1.2 L/ha,Medium,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",1.2 L/ha,Medium,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,3.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,1.5 kg/ha,Low,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,1.5 kg/ha,Low,Western Province,Synthetic data for example purposes
Imperata cylindrica,"2,4-D",1.5 kg/ha,Low,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,1.2 L/ha,Medium,Northern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Propanil,1.2 L/ha,High,Southern Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,1.2 L/ha,Low,Eastern Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,1.2 L/ha,Medium,Western Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,2.5 L/ha,Medium,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,2.0 L/ha,Low,Central Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,3.5 L/ha,Low,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,Propanil,1.5 kg/ha,High,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,3.5 L/ha,Low,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",1.2 L/ha,High,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,3.5 L/ha,High,Northern Province,Synthetic data for example purposes
Imperata cylindrica,Propanil,1.2 L/ha,High,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,Glyphosate,3.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,3.5 L/ha,Low,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,2.0 L/ha,Medium,Western Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,2.5 L/ha,High,Southern Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,2.5 L/ha,Medium,Western Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,1.5 kg/ha,Medium,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,1.5 kg/ha,Medium,Western Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,1.5 kg/ha,Low,Central Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,3.5 L/ha,High,Northern Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,1.5 kg/ha,Medium,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,1.5 kg/ha,High,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,3.5 L/ha,Low,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,2.0 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,1.2 L/ha,High,Southern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,2.0 L/ha,Low,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,"2,4-D",1.2 L/ha,Medium,Western Province,Synthetic data for example purposes
Amaranthus spinosus,Atrazine,3.5 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,Atrazine,3.5 L/ha,Medium,Northern Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,2.0 L/ha,High,Northern Province,Synthetic data for example purposes
Cyperus rotundus,Propanil,1.2 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,1.2 L/ha,Medium,Western Province,Synthetic data for example purposes
Amaranthus spinosus,MCPA,2.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,2.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,MCPA,2.5 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,2.0 L/ha,Medium,Western Province,Synthetic data for example purposes
Cyperus rotundus,Propanil,2.0 L/ha,High,Western Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,1.2 L/ha,Low,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,2.5 L/ha,High,Western Province,Synthetic data for example purposes
Cyperus rotundus,Glyphosate,3.5 L/ha,Medium,Northern Province,Synthetic data for example purposes
Echinochloa crus-galli,Propanil,3.5 L/ha,Low,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",2.5 L/ha,Low,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,"2,4-D",2.5 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,2.5 L/ha,Medium,Northern Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,2.0 L/ha,High,Southern Province,Synthetic data for example purposes
Imperata cylindrica,"2,4-D",1.5 kg/ha,High,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",2.0 L/ha,Medium,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,3.5 L/ha,High,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",1.5 kg/ha,Low,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,Glyphosate,1.2 L/ha,High,Northern Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",3.5 L/ha,Low,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,Glyphosate,2.0 L/ha,High,Northern Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",2.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,2.5 L/ha,Low,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,1.2 L/ha,Low,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,2.0 L/ha,Medium,Southern Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,2.5 L/ha,Low,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,1.2 L/ha,Low,Western Province,Synthetic data for example purposes
Cyperus rotundus,Glyphosate,2.0 L/ha,High,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,Propanil,1.2 L/ha,High,Western Province,Synthetic data for example purposes
Imperata cylindrica,"2,4-D",1.2 L/ha,Low,Northern Province,Synthetic data for example purposes
Cyperus rotundus,Glyphosate,3.5 L/ha,Low,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,2.5 L/ha,Low,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,2.5 L/ha,High,Central Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",3.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,1.2 L/ha,High,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,1.2 L/ha,Low,Central Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",1.2 L/ha,High,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,3.5 L/ha,Medium,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,1.5 kg/ha,High,Central Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",2.5 L/ha,High,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",2.0 L/ha,High,Eastern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,2.5 L/ha,High,Southern Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",2.5 L/ha,High,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,Propanil,2.5 L/ha,High,Central Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,3.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,2.0 L/ha,Low,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",2.0 L/ha,High,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",2.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Imperata cylindrica,Propanil,1.2 L/ha,Medium,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,1.2 L/ha,Medium,Northern Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,1.2 L/ha,High,Central Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,2.0 L/ha,High,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,1.2 L/ha,High,Eastern Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,2.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",1.2 L/ha,Medium,Southern Province,Synthetic data for example purposes
Cyperus rotundus,Propanil,1.2 L/ha,Low,Central Province,Synthetic data for example purposes
Imperata cylindrica,Propanil,2.0 L/ha,Medium,Northern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,1.2 L/ha,High,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,Propanil,1.5 kg/ha,High,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",1.5 kg/ha,Low,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Propanil,3.5 L/ha,Medium,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",3.5 L/ha,High,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,1.2 L/ha,Medium,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,1.5 kg/ha,High,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,1.2 L/ha,Low,Central Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,3.5 L/ha,Medium,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,Atrazine,1.2 L/ha,Low,Western Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",3.5 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Propanil,1.5 kg/ha,Medium,Western Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,2.0 L/ha,High,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Propanil,3.5 L/ha,High,Western Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,1.5 kg/ha,Low,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,2.0 L/ha,Low,Central Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,1.5 kg/ha,Medium,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,2.5 L/ha,Low,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",1.2 L/ha,High,Central Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,2.5 L/ha,High,Northern Province,Synthetic data for example purposes
Echinochloa crus-galli,Propanil,1.2 L/ha,High,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,1.2 L/ha,Medium,Western Province,Synthetic data for example purposes
Cyperus rotundus,Glyphosate,2.0 L/ha,Low,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,3.5 L/ha,High,Western Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,1.2 L/ha,Medium,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Propanil,1.5 kg/ha,High,Central Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,1.2 L/ha,Low,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,"2,4-D",3.5 L/ha,High,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,MCPA,1.5 kg/ha,Low,Western Province,Synthetic data for example purposes
Sphenoclea zeylanica,"2,4-D",2.5 L/ha,High,Western Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,2.5 L/ha,Low,Southern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,1.2 L/ha,High,Central Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,1.2 L/ha,Medium,Northern Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,3.5 L/ha,Low,Western Province,Synthetic data for example purposes
Amaranthus spinosus,Glyphosate,3.5 L/ha,High,Northern Province,Synthetic data for example purposes
Imperata cylindrica,"2,4-D",1.2 L/ha,Medium,Northern Province,Synthetic data for example purposes
Echinochloa crus-galli,Glyphosate,3.5 L/ha,High,Central Province,Synthetic data for example purposes
Cyperus rotundus,Atrazine,2.0 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",3.5 L/ha,High,Central Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,2.5 L/ha,High,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,Glyphosate,3.5 L/ha,Medium,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Propanil,1.2 L/ha,High,Northern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,1.5 kg/ha,High,Northern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",2.0 L/ha,Medium,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,2.0 L/ha,Medium,Northern Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,1.5 kg/ha,Medium,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,Atrazine,2.0 L/ha,High,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,MCPA,2.5 L/ha,High,Southern Province,Synthetic data for example purposes
Imperata cylindrica,MCPA,1.2 L/ha,High,Southern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,1.2 L/ha,Medium,Western Province,Synthetic data for example purposes
Sphenoclea zeylanica,"2,4-D",1.2 L/ha,Medium,Southern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,3.5 L/ha,Medium,Western Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,2.5 L/ha,High,Southern Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,1.2 L/ha,Medium,Central Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",2.5 L/ha,High,Northern Province,Synthetic data for example purposes
Imperata cylindrica,"2,4-D",2.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Cyperus rotundus,Propanil,2.5 L/ha,Medium,Central Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,2.0 L/ha,Low,Central Province,Synthetic data for example purposes
Imperata cylindrica,Propanil,2.5 L/ha,High,Northern Province,Synthetic data for example purposes
Echinochloa crus-galli,Propanil,1.2 L/ha,Medium,Northern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Atrazine,1.2 L/ha,High,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,Glyphosate,3.5 L/ha,Medium,Southern Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",2.0 L/ha,Low,Southern Province,Synthetic data for example purposes
Amaranthus spinosus,Propanil,2.0 L/ha,Low,Northern Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,1.5 kg/ha,High,Eastern Province,Synthetic data for example purposes
Amaranthus spinosus,"2,4-D",3.5 L/ha,High,Southern Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,1.2 L/ha,Low,Eastern Province,Synthetic data for example purposes
Imperata cylindrica,"2,4-D",2.0 L/ha,High,Western Province,Synthetic data for example purposes
Imperata cylindrica,Atrazine,1.2 L/ha,High,Central Province,Synthetic data for example purposes
Imperata cylindrica,Glyphosate,3.5 L/ha,Low,Northern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,1.2 L/ha,High,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,2.0 L/ha,Low,Central Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,3.5 L/ha,Low,Central Province,Synthetic data for example purposes
Echinochloa crus-galli,"2,4-D",3.5 L/ha,Low,Northern Province,Synthetic data for example purposes
Sphenoclea zeylanica,Glyphosate,1.5 kg/ha,High,Southern Province,Synthetic data for example purposes
Sphenoclea zeylanica,MCPA,3.5 L/ha,High,Eastern Province,Synthetic data for example purposes
Cyperus rotundus,MCPA,3.5 L/ha,Low,Eastern Province,Synthetic data for example purposes
